车ID,O_time,O_lng,O_lat,D_time,D_lng,D_lat
159421,2017-12-04 00:00:03,116.455095,39.975428,2017-12-04 00:00:59,115.94161,39.821707
174938,2017-12-04 00:00:52,116.397495,39.94771,2017-12-04 00:01:00,116.30396,39.850045
488230,2017-12-03 23:59:57,116.315089,39.745962,2017-12-04 00:01:00,116.312344,39.748018
164996,2017-12-03 23:59:53,116.44077,39.839258,2017-12-04 00:01:00,116.441093,39.837688
403723,2017-12-03 23:59:55,116.317025,40.04127,2017-12-04 00:01:01,116.3224,40.044755
470491,2017-12-03 23:59:56,116.412184,39.899441,2017-12-04 00:01:02,116.413636,39.895796
156406,2017-12-04 00:00:50,116.387326,39.932126,2017-12-04 00:01:01,116.201945,39.813025
431200,2017-12-03 23:59:54,116.40213,39.957688,2017-12-04 00:01:03,116.399148,39.956807
174938,2017-12-04 00:01:03,116.394983,39.947715,2017-12-04 00:01:03,116.30396,39.850045
164819,2017-12-04 00:00:31,116.593767,39.91239,2017-12-04 00:01:03,116.095453,39.645908
111428,2017-12-03 23:59:55,116.350322,39.944133,2017-12-04 00:01:03,116.35374,39.946953
214074,2017-12-03 23:59:56,116.415775,39.856915,2017-12-04 00:01:05,116.416368,39.855867
156427,2017-12-04 00:00:13,116.594437,39.910457,2017-12-04 00:01:05,116.237789,40.047374
102334,2017-12-03 23:59:55,116.245995,39.933987,2017-12-04 00:01:08,116.245345,39.93569
199494,2017-12-03 23:59:59,116.399174,39.973942,2017-12-04 00:01:09,116.393021,39.973873
154726,2017-12-03 23:59:54,116.320493,39.883319,2017-12-04 00:01:09,116.326219,39.883228
21848,2017-12-04 00:00:02,116.146842,39.933097,2017-12-04 00:01:09,116.145363,39.933147
156406,2017-12-04 00:01:02,116.386969,39.932132,2017-12-04 00:01:09,116.200602,39.811963
194612,2017-12-03 23:59:57,116.303833,39.938345,2017-12-04 00:01:03,116.303815,39.931688
164880,2017-12-03 23:59:58,116.429713,39.844472,2017-12-04 00:01:11,116.43458,39.846711
214524,2017-12-03 23:59:55,116.297107,39.683283,2017-12-04 00:01:12,116.291867,39.681367
174938,2017-12-04 00:01:07,116.394032,39.94771,2017-12-04 00:01:12,116.30396,39.850045
180043,2017-12-04 00:00:00,116.641125,39.891162,2017-12-04 00:01:12,116.64875,39.891148
156494,2017-12-04 00:00:55,116.410982,39.93089,2017-12-04 00:01:13,116.348191,39.867237
194322,2017-12-03 23:59:56,116.22052,40.22427,2017-12-04 00:01:13,116.209593,40.222397
431314,2017-12-03 23:59:59,116.205643,39.906163,2017-12-04 00:01:14,116.202497,39.902567
164807,2017-12-04 00:00:23,116.511414,39.915193,2017-12-04 00:01:11,116.408692,39.453693
578584,2017-12-03 23:59:59,116.439063,39.85793,2017-12-04 00:01:14,116.438907,39.864395
486379,2017-12-03 23:59:56,116.482467,39.915415,2017-12-04 00:01:13,116.48317,39.916095
156473,2017-12-04 00:00:13,116.48389,39.895138,2017-12-04 00:01:14,116.163207,39.806893
251488,2017-12-04 00:00:00,116.32995,40.007645,2017-12-04 00:01:15,116.329392,40.008017
126401,2017-12-04 00:01:12,116.340257,39.95564,2017-12-04 00:01:14,116.340215,39.955578
426498,2017-12-04 00:00:01,116.427737,39.93987,2017-12-04 00:01:15,116.423885,39.939698
150246,2017-12-04 00:00:04,116.410909,39.993627,2017-12-04 00:01:20,116.409687,39.993868
93464,2017-12-03 23:59:55,116.411435,39.916328,2017-12-04 00:01:19,116.409235,39.914232
480707,2017-12-03 23:59:56,116.448598,39.817115,2017-12-04 00:01:20,116.444005,39.817417
126401,2017-12-04 00:01:18,116.340183,39.955498,2017-12-04 00:01:20,116.340143,39.955473
431096,2017-12-04 00:00:02,116.344002,40.048788,2017-12-04 00:01:22,116.345933,40.044011
100194,2017-12-04 00:00:26,116.536035,40.023347,2017-12-04 00:01:18,116.438693,39.895143
156549,2017-12-03 23:59:59,116.207682,39.76216,2017-12-04 00:01:22,116.208562,39.757572
157421,2017-12-03 23:59:59,116.367958,39.865238,2017-12-04 00:01:24,116.368081,39.864543
174938,2017-12-04 00:01:13,116.392515,39.947703,2017-12-04 00:01:24,116.30396,39.850045
156428,2017-12-04 00:00:32,116.22685,39.923357,2017-12-04 00:01:24,116.469913,39.70318
156494,2017-12-04 00:01:19,116.41109,39.927387,2017-12-04 00:01:25,116.348049,39.868507
156406,2017-12-04 00:01:14,116.385658,39.932113,2017-12-04 00:01:25,116.198408,39.80991
566467,2017-12-03 23:59:55,116.281483,40.095138,2017-12-04 00:01:27,116.282325,40.097655
157246,2017-12-03 23:59:58,116.374965,39.974715,2017-12-04 00:01:27,116.37127,39.972295
156482,2017-12-04 00:00:33,116.414756,39.879895,2017-12-04 00:01:27,115.982323,39.645887
174938,2017-12-04 00:01:32,116.387588,39.947668,2017-12-04 00:01:36,116.30396,39.850045
156494,2017-12-04 00:01:31,116.411167,39.925717,2017-12-04 00:01:37,116.347909,39.869754
156406,2017-12-04 00:01:26,116.384296,39.932041,2017-12-04 00:01:37,116.19736,39.808177
426390,2017-12-03 23:59:57,116.368408,40.021668,2017-12-04 00:01:38,116.366338,40.016437
164805,2017-12-04 00:00:40,116.328768,39.921718,2017-12-04 00:01:39,116.261648,39.71581
156451,2017-12-04 00:00:22,116.654404,40.208785,2017-12-04 00:01:39,116.219727,39.977278
157542,2017-12-04 00:00:04,116.651642,39.90793,2017-12-04 00:01:46,116.654002,39.913673
492156,2017-12-03 23:59:54,116.372313,39.838733,2017-12-04 00:01:47,116.374115,39.83948
174938,2017-12-04 00:01:42,116.38511,39.947632,2017-12-04 00:01:48,116.30396,39.850045
164832,2017-12-04 00:00:51,116.350535,39.900278,2017-12-04 00:01:48,116.630517,40.199338
156406,2017-12-04 00:01:38,116.383658,39.932004,2017-12-04 00:01:49,116.196777,39.806188
111429,2017-12-03 23:59:56,116.210602,39.924478,2017-12-04 00:01:51,116.214133,39.926448
156455,2017-12-04 00:00:54,116.293861,39.922631,2017-12-04 00:01:51,116.525468,40.0373
102554,2017-12-03 23:59:59,116.57703,39.923526,2017-12-04 00:01:55,116.581436,39.927185
164352,2017-12-04 00:00:03,116.170526,40.047962,2017-12-04 00:01:56,116.167944,40.047353
194368,2017-12-03 23:59:55,116.420393,39.860987,2017-12-04 00:01:55,116.425945,39.862462
403332,2017-12-03 23:59:59,116.364637,39.956708,2017-12-04 00:01:56,116.35511,39.95604
403054,2017-12-03 23:59:58,116.420195,40.072708,2017-12-04 00:01:58,116.422827,40.074963
159421,2017-12-04 00:01:03,116.444503,39.982363,2017-12-04 00:01:59,115.94161,39.821707
174938,2017-12-04 00:01:53,116.382678,39.947595,2017-12-04 00:02:00,116.30396,39.850045
156494,2017-12-04 00:01:43,116.411233,39.924403,2017-12-04 00:02:01,116.347703,39.872177
156406,2017-12-04 00:01:50,116.383648,39.932005,2017-12-04 00:02:01,116.19635,39.80397
431242,2017-12-03 23:59:54,116.51113,39.782965,2017-12-04 00:02:02,116.512172,39.783013
26477,2017-12-04 00:00:23,116.366628,39.855452,2017-12-04 00:02:02,116.37924,39.85546
128410,2017-12-04 00:00:02,116.374955,39.862165,2017-12-04 00:02:02,116.380147,39.863262
489460,2017-12-03 23:59:56,116.292978,40.093312,2017-12-04 00:02:03,116.286885,40.101805
214252,2017-12-03 23:59:59,116.394556,39.996351,2017-12-04 00:02:04,116.397173,40.003834
164770,2017-12-04 00:01:36,116.407152,39.912823,2017-12-04 00:02:03,116.104923,39.662882
164819,2017-12-04 00:01:07,116.59298,39.911253,2017-12-04 00:02:03,116.095453,39.645908
214189,2017-12-03 23:59:56,116.346642,39.912549,2017-12-04 00:02:05,116.336684,39.911722
156427,2017-12-04 00:01:05,116.599472,39.911458,2017-12-04 00:02:05,116.237795,40.047372
495249,2017-12-03 23:59:49,116.282992,39.931053,2017-12-04 00:02:01,116.27878,39.926777
164831,2017-12-04 00:01:13,116.369037,39.86337,2017-12-04 00:02:06,116.431953,39.566065
199468,2017-12-04 00:00:29,116.36196,39.887795,2017-12-04 00:01:59,116.368559,39.889577
174911,2017-12-03 23:59:54,116.46439,39.915235,2017-12-04 00:02:08,116.451582,39.91893
156406,2017-12-04 00:02:02,116.383489,39.931995,2017-12-04 00:02:09,116.19603,39.802338
470468,2017-12-04 00:00:20,116.33859,39.972877,2017-12-04 00:02:09,116.341923,39.975082
174938,2017-12-04 00:02:04,116.380052,39.94756,2017-12-04 00:02:12,116.30396,39.850045
156455,2017-12-04 00:01:53,116.301583,39.923016,2017-12-04 00:02:13,116.30017,39.923018
156494,2017-12-04 00:02:07,116.411275,39.923217,2017-12-04 00:02:13,116.347712,39.873328
